Soil Moisture,Temperature,Rainfall,Evapotranspiration,Solar_Radiation,Humidity,Hectares,Yied_Hectare_(M.Ton),Total_Production(M.Ton)
0.517415514,30.44025168,449.0248742,76.84810056,"32,688.27",74,45993,3.748,172397
0.535167637,30.93145568,1310.314414,137.5476028,"30,995.85",69,3227,2.991,9650
0.439693978,31.38844898,577.445988,75.72370235,"32,191.96",70,266,3.048,812
0.529324429,29.6448596,587.6901902,106.533277,"31,977.38",74,60761,3.975,241504
0.500783198,28.22359556,808.4073685,116.4337947,"31,846.44",75,55160,3.668,202302
0.466426459,29.19005072,538.2401542,75.1367864,"32,331.13",71,184022,3.969,730444
0.502683157,28.81011269,906.1583318,64.66292777,"28,836.02",78,106888,3.59,383781
0.565021455,28.66962901,756.0089104,109.9170242,"31,019.93",72,65296,3.578,233621
0.424415981,33.31045428,347.5858254,28.86790676,"35,879.37",77,50517,3.927,198404
0.512777261,29.54683437,1161.219926,114.4152907,"31,516.60",73,67135,3.745,251413
0.440853129,33.63029351,319.0425988,59.71371937,"35,489.68",74,39200,3.801,149013
0.554091231,29.56717005,863.39892,91.92846722,"30,154.45",72,49465,3.426,169475
0.467152361,30.86012987,1305.953477,116.3614668,"31,603.26",81,159879,3.974,635359
0.503454998,30.7310881,600.8235421,78.78564367,"31,930.65",83,47415,4.021,190646
0.511137603,29.10696417,649.9455739,47.41814967,"31,032.72",73,172213,4.045,696519
0.518735037,31.35282485,453.7260981,76.38892664,"33,392.75",82,32257,4.513,145573
0.501658551,29.60147326,983.9626754,92.42310598,"30,579.90",83,33186,3.667,121705
0.491509614,28.91997787,775.7956504,55.18011714,"30,294.43",84,117761,4.075,479831
0.486634784,30.34845662,672.0339742,68.45827845,"30,386.84",83,59748,3.971,237235
0.507528839,30.29433306,457.5002999,82.79314853,"32,986.70",86,76787,4.66,357827
0.393388387,28.65856105,1397.698258,64.53142278,"26,541.59",82,102292,3.387,346431
0.466006431,28.8250452,787.6608705,74.1969998,"29,989.02",79,125775,4.207,529119
0.371111547,32.3651812,402.9538452,89.32020652,"34,733.47",83,154463,4.175,644883
0.563998018,30.02953244,519.3909147,95.11930936,"32,007.54",82,9070,3.323,30140
0.430412242,32.83343526,349.2034365,79.30065896,"35,085.26",82,88049,4.143,364832
0.519293194,28.83762919,597.5956874,72.53398821,"32,338.85",80,70618,4.394,310277
0.562023138,29.80283894,1202.599882,121.2741395,"30,077.43",80,10272,3.244,33326
0.506297202,30.95741253,424.5577806,64.92287333,"33,349.84",78,46571,3.695,172067
0.463315021,27.91755481,1057.709161,71.66619634,"27,366.27",85,168861,4.186,706897
0.453000877,28.63239701,1260.266929,57.2864716,"28,414.29",81,93182,4.225,393726
0.431312715,33.48003258,321.1663765,52.91567807,"35,046.19",83,35845,4.306,154365
0.499012581,29.14121209,798.1024977,134.0183183,"31,438.13",82,30044,4.057,121888
0.500160322,28.63446349,1141.99441,55.66946958,"28,558.32",85,53379,4.091,218393
0.518308738,30.38939033,510.2969878,93.43132644,"32,574.57",82,40566,4.143,168079
0.455954332,32.16400435,377.3064191,75.67751356,"34,388.24",78,37145,3.727,138430
