Soil Moisture,Temperature,Rainfall,Evapotranspiration,Solar_Radiation,Humidity,Hectares,Yied_Hectare_(M.Ton),Total_Production(M.Ton)
0.559246091,22.77449987,32.98986819,76.84810056,"17,215.18",74,45993,3.748,172397
0.543064962,23.36357813,33.21424012,137.5476028,"18,331.66",69,3227,2.991,9650
0.563098324,23.93867205,45.16044852,75.72370235,"17,731.18",70,266,3.048,812
0.513378691,22.92098813,63.0271104,106.533277,"17,138.69",74,60761,3.975,241504
0.496580296,23.41532647,59.7585797,116.4337947,"17,630.37",75,55160,3.668,202302
0.409205709,24.4990646,18.68950391,75.1367864,"16,196.43",71,184022,3.969,730444
0.491871959,26.25644752,30.1723127,64.66292777,"16,122.75",78,106888,3.59,383781
0.472610144,24.22815206,41.69184513,109.9170242,"16,784.27",72,65296,3.578,233621
0.446508803,24.06479516,9.733910892,28.86790676,"16,346.15",77,50517,3.927,198404
0.488388133,24.65790886,39.05575866,114.4152907,"17,877.26",73,67135,3.745,251413
0.478186377,24.46926829,34.91986914,59.71371937,"16,327.46",74,39200,3.801,149013
0.469863943,24.92861671,33.74553052,91.92846722,"16,723.13",72,49465,3.426,169475
0.472840841,25.75722647,38.6065722,116.3614668,"18,525.79",81,159879,3.974,635359
0.491764577,25.50109846,35.28509191,78.78564367,"16,361.15",83,47415,4.021,190646
0.406960544,25.24447447,6.783511909,47.41814967,"16,399.63",73,172213,4.045,696519
0.464993295,25.16430464,48.98484195,76.38892664,"16,450.86",82,32257,4.513,145573
0.435559472,24.46395855,42.66078311,92.42310598,"17,409.42",83,33186,3.667,121705
0.404426117,24.67365753,17.61837481,55.18011714,"16,103.17",84,117761,4.075,479831
0.473091718,24.38326691,29.78584505,68.45827845,"16,190.92",83,59748,3.971,237235
0.480059523,24.30093566,60.66961665,82.79314853,"16,679.47",86,76787,4.66,357827
0.46849696,25.71188214,20.90011761,64.53142278,"16,001.98",82,102292,3.387,346431
0.447855833,24.88532212,24.65302722,74.1969998,"16,027.52",79,125775,4.207,529119
0.424145891,24.44608389,59.61915984,89.32020652,"16,503.39",83,154463,4.175,644883
0.60286101,23.12878224,55.7386075,95.11930936,"17,332.55",82,9070,3.323,30140
0.435161479,24.95758935,38.98461899,79.30065896,"16,375.33",82,88049,4.143,364832
0.428485032,25.04320265,13.85161712,72.53398821,"16,262.66",80,70618,4.394,310277
0.525377017,23.14525007,42.71304678,121.2741395,"17,243.99",80,10272,3.244,33326
0.541312675,23.3433261,36.50580451,64.92287333,"16,933.45",78,46571,3.695,172067
0.465967535,25.38750935,27.81972002,71.66619634,"15,877.89",85,168861,4.186,706897
0.411685001,24.09154104,12.73142995,57.2864716,"16,180.74",81,93182,4.225,393726
0.460686362,24.62404945,30.30920587,52.91567807,"16,340.28",83,35845,4.306,154365
0.486706928,23.31372904,52.55101132,134.0183183,"17,284.01",82,30044,4.057,121888
0.364902824,25.07860029,5.541324551,55.66946958,"16,265.55",85,53379,4.091,218393
0.479265795,24.77571517,70.94009396,93.43132644,"16,686.34",82,40566,4.143,168079
0.438476486,24.93369013,42.04370882,75.67751356,"16,427.01",78,37145,3.727,138430
0.487860683,25.55867166,34.1872022,91.47439811,"16,339.92",83,60005,4.25,255036
0.479295104,24.83355748,21.98830416,71.83826536,"16,179.56",82,46755,2.908,135954
0.480718893,24.69043297,36.71359796,48.77178026,"16,305.50",85,22375,4.299,96182
0.470228121,24.90075758,45.97596694,96.19036065,"16,481.76",77,24598,3.941,96940
0.446664191,25.7081453,31.74104256,76.09712,"15,986.07",81,262040,3.572,936015
0.391219708,24.45358582,12.02066075,45.71768749,"16,328.73",77,192928,4.21,812180
0.453877432,24.78457728,52.16784939,75.49634127,"16,573.51",83,35259,4.169,146990
0.474078015,25.38622891,37.43566737,79.16885501,"16,332.67",82,53805,4.239,228106
0.472883498,24.88660697,31.39406644,84.32085877,"16,093.08",84,29712,4.008,119076
0.459888915,24.36477568,14.12400239,53.29787313,"16,303.04",84,58030,4.259,247123
0.429757056,26.03919998,36.32846853,76.95554206,"15,863.66",86,166981,4.305,718844
0.367174913,24.53687572,4.456873231,53.1226621,"16,377.35",74,81257,3.928,319184
0.437679204,23.72349848,50.8602834,114.3660602,"17,573.55",76,58581,3.968,232473
0.461744003,24.64785032,26.39729371,61.18112021,"16,322.04",82,70605,4.224,298244
0.356381089,24.58247349,3.65035713,40.36224566,"16,357.89",79,42968,3.982,171096
0.518249732,23.91126525,66.75991846,85.37291734,"17,756.62",77,3140,2.467,7746
0.59044953,23.1696595,41.37337902,89.53767166,"17,256.59",74,19225,3.161,60771
0.454174775,25.08448972,33.32701013,75.74915288,"16,350.45",80,17100,4.095,70019
0.472089875,24.36474822,10.60259065,45.37566405,"16,333.82",68,74714,4.053,302834
0.537449118,22.52526514,42.00555329,136.3938781,"17,551.07",84,4788,3.472,16623
0.374909702,24.62222271,8.095600487,54.60009437,"16,228.70",79,132230,4.066,537696
0.520113069,24.4135806,38.99351652,77.58456235,"16,829.07",78,72361,3.735,270255
0.470343518,24.47095829,65.36384333,102.6371384,"16,716.21",78,27762,4.171,115806
0.459188189,25.90366503,33.78918521,77.05127965,"15,945.15",83,87491,3.96,346450
0.459081407,24.5866791,21.95046998,61.14368269,"16,243.34",78,137424,4.157,571337
0.468014138,24.57013539,35.06505203,54.7118027,"15,871.64",77,190525,3.367,641455
0.436712257,25.05753168,34.06745463,55.86100584,"15,974.64",81,67693,3.048,206323
0.468009085,24.64590336,28.21480291,80.61080598,"16,211.57",81,163636,4.024,658469
0.396226247,25.36634618,3.943055605,38.15566451,"16,701.05",79,62759,3.483,218564
0.513066316,24.68984396,12.85853662,85.69383113,"18,787.93",77,47494,3.752,178203
0.546097431,24.74272963,26.01932058,103.1424174,"19,083.17",77,3545,2.996,10621
0.532880476,26.01705228,25.52473376,82.80597778,"19,027.45",71,436,2.93,1277
0.480511238,25.29001704,18.17684948,114.8245148,"18,621.49",81,60721,3.737,226889
0.482427685,25.19308862,29.8031699,125.2796806,"18,886.95",78,53015,3.228,171108
0.386690141,26.27123342,0.054964404,72.01809382,"17,285.04",79,186797,4.047,756044
0.488870459,27.79710845,10.81247503,85.16098286,"17,842.18",80,107322,3.766,404163
0.445594504,25.55458608,9.21082976,122.8036978,"18,381.01",84,64231,3.274,210305
0.406186953,25.74660199,0,49.94684407,"17,324.67",68,50718,3.881,196834
0.475694497,26.39523345,23.53962515,96.76175326,"18,723.91",72,63438,3.37,213771
0.440886248,26.13589788,5.018567006,54.16127521,"17,939.24",72,41159,3.653,150362
0.462464344,26.93323499,11.4080776,101.1671975,"18,248.84",71,49896,3.551,177172
0.461120185,27.294611,23.11401342,115.9427177,"19,110.84",75,160767,3.829,615555
0.459401243,27.12976076,9.644856774,66.75347486,"18,081.32",65,47115,4.257,200561
0.383669533,26.16027349,0,75.66917955,"16,707.71",71,174484,4.114,717878
0.418818253,26.47078682,7.540151315,61.71133076,"18,265.70",69,32361,4.318,139741
0.423510288,26.27139013,14.16177044,73.96427576,"18,532.90",73,33163,3.663,121469
